,major, class
17460,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17461,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17462,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 302
17463,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17464,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17465,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17466,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17467,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17468,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17469,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,P R 220
17470,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 105
17471,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 215
17472,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 310
17473,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 385
17474,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 430
17475,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 464
17476,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 485
17477,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,HD FS 270
17478,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,HD FS 449
17479,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 485
17480,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,HD FS 377
17481,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17482,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 266
17483,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 345
17484,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17485,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17486,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 366
17487,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17488,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 385
17489,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17490,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 459
17491,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 462
17492,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 485A
17493,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 380
17494,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 220
17495,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 364
17496,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 365
17497,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 310
17498,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 380
17499,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 385
17500,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 430
17501,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 464
17502,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 485
17503,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17504,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 366
17505,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17506,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 467
17507,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 231
17508,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 232
17509,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 236
17510,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17511,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 280
17512,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 281
17513,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 282
17514,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 312
17515,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 313
17516,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17517,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17518,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 365
17519,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17520,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 395
17521,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 417
17522,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 418
17523,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 471
17524,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 475
17525,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 211
17526,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 105
17527,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 305
17528,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 202
17529,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 204
17530,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 406
17531,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17532,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17533,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 242X
17534,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17535,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17536,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 365
17537,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17538,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 464
17539,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 455
17540,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17541,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 462
17542,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 467
17543,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 472
17544,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 473
17545,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 480
17546,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 220
17547,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 222/223
17548,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 270
17549,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 320
17550,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 360
17551,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 384
17552,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 385
17553,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17554,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17555,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 366
17556,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17557,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 220
17558,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17559,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 266
17560,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 345
17561,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17562,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 462
17563,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 467
17564,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17565,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17566,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 380
17567,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 215
17568,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 305
17569,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 310
17570,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 430
17571,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 467
17572,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17573,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17574,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17575,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17576,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 365
17577,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 218
17578,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 221
17579,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 255
17580,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 222
17581,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17582,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17583,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 167
17584,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17585,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17586,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17587,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17588,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 219
17589,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 224
17590,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 223
17591,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 225
17592,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 226
17593,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 240
17594,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 227
17595,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 215
17596,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17597,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 266
17598,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17599,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 323
17600,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 326
17601,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 324
17602,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 327
17603,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 163
17604,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17605,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17606,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 365
17607,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 425
17608,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 488
17609,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 450
17610,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,A TR 489
17611,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17612,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 305
17613,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 480
17614,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17615,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 163
17616,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17617,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 167
17618,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17619,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 105
17620,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17621,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17622,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17623,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 230
17624,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17625,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 101
17626,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 255
17627,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 256
17628,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17629,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 215
17630,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,HD FS 270
17631,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17632,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17633,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 310
17634,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 385
17635,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17636,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17637,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,MICRO 201
17638,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 485
17639,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 430
17640,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17641,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 167
17642,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17643,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17644,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17645,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17646,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17647,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17648,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17649,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 255
17650,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17651,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17652,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 266
17653,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17654,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17655,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 345
17656,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17657,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17658,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17659,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 366
17660,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 385
17661,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 115
17662,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 485A
17663,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 380
17664,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17665,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 459
17666,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 462
17667,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17668,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 163
17669,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17670,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 167
17671,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17672,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17673,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17674,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17675,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17676,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17677,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 255
17678,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 256
17679,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17680,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17681,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17682,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,MICRO 201
17683,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 364
17684,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 310
17685,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 380
17686,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17687,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 385
17688,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17689,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 464
17690,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 366
17691,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 485
17692,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 430
17693,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 458
17694,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 467
17695,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 204
17696,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,DANCE 211
17697,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17698,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 236
17699,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17700,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17701,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17702,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 280
17703,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17704,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17705,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17706,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PSYCH 230
17707,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 255
17708,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 256
17709,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17710,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 202
17711,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 105
17712,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 305
17713,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 231
17714,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 282
17715,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 232
17716,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17717,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 259
17718,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 281
17719,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 312
17720,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17721,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17722,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 313
17723,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17724,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17725,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 115
17726,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,C I 406
17727,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 417
17728,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 418
17729,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17730,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 395
17731,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 475
17732,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17733,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17734,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17735,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17736,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17737,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17738,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17739,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17740,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17741,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 331
17742,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 332 
17743,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17744,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17745,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17746,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17747,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17748,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17749,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17750,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 111
17751,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17752,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHIL 331
17753,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,FS HN 367
17754,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17755,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17756,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17757,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17758,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17759,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17760,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17761,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17762,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17763,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17764,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 331
17765,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 332
17766,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
17767,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 242
17768,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 258
17769,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SOC 134
17770,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BBMB 404
17771,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 350
17772,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 355
17773,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 372
17774,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 112
17775,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,PHYS 111
17776,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,SP CM 212
17777,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 358
17778,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 360
17779,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 211
17780,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,BIOL 212
17781,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 177
17782,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 178
17783,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 150
17784,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,H S 110
17785,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 252
17786,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,MATH 165
17787,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,KIN 253
17788,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,LIB 160
17789,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 331
17790,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,CHEM 332
17791,Kinesiology and Health- B.S. - Pre-Health Professions - Physical Therapy,ENGL 250
